2 89.51933288574219 [1, 4, 2, 3, 5, 5, 1, 4, 3, 0, 0, 3, 4, 3, 3, 4, 2, 5, 4, 2, 2, 1, 2, 2, 1, 5, 0, 4, 5, 5, 3, 2, 2, 3, 0, 1, 1, 4, 3, 4, 4, 5, 1, 3, 4, 2, 5, 5]
4 91.49514160156251 [5, 4, 0, 2, 4, 2, 5, 0, 4, 1, 3, 0, 3, 1, 0, 4, 5, 4, 5, 5, 2, 4, 2, 0, 4, 5, 4, 2, 4, 3, 3, 3, 2, 0, 4, 3, 3, 5, 4, 1, 5, 1, 2, 3, 2, 4, 5, 5]
6 96.15947265625 [2, 2, 4, 3, 5, 2, 1, 0, 4, 4, 4, 5, 4, 4, 5, 4, 2, 5, 2, 4, 1, 2, 5, 2, 3, 3, 0, 4, 4, 4, 4, 3, 0, 5, 5, 2, 2, 5, 3, 4, 4, 3, 0, 5, 4, 2, 3, 4]
8 96.81474609375 [2, 4, 3, 4, 3, 1, 3, 1, 3, 0, 2, 4, 3, 1, 3, 4, 2, 5, 4, 4, 4, 3, 5, 2, 1, 1, 5, 5, 5, 1, 2, 2, 0, 5, 4, 0, 2, 5, 2, 3, 1, 3, 2, 5, 5, 3, 4, 0]
10 96.58595275878906 [2, 5, 0, 5, 5, 0, 2, 4, 3, 2, 3, 0, 5, 3, 4, 2, 5, 3, 4, 2, 1, 4, 4, 3, 3, 2, 4, 3, 4, 0, 3, 3, 3, 5, 3, 5, 2, 5, 4, 1, 3, 3, 0, 5, 2, 5, 5, 0]
12 98.5594940185547 [2, 4, 3, 4, 4, 4, 3, 4, 0, 5, 0, 2, 5, 2, 1, 4, 5, 4, 5, 5, 1, 2, 5, 1, 5, 3, 4, 4, 4, 5, 2, 1, 0, 5, 4, 2, 2, 4, 5, 4, 2, 5, 0, 4, 3, 4, 5, 1]
14 99.55504150390624 [3, 5, 3, 5, 2, 2, 4, 4, 3, 0, 3, 4, 5, 5, 3, 3, 4, 3, 5, 4, 2, 4, 4, 0, 5, 4, 4, 4, 5, 5, 2, 2, 1, 0, 4, 1, 1, 5, 3, 4, 4, 4, 0, 5, 5, 5, 4, 4]
16 101.96532592773438 [4, 0, 0, 5, 3, 0, 3, 2, 3, 3, 3, 1, 4, 5, 1, 4, 5, 3, 4, 5, 2, 2, 4, 4, 0, 4, 4, 5, 5, 2, 2, 5, 3, 4, 3, 1, 4, 4, 1, 4, 5, 2, 1, 5, 3, 4, 5, 5]
18 100.82150268554689 [2, 2, 3, 5, 4, 1, 3, 1, 5, 4, 5, 3, 4, 4, 1, 3, 5, 3, 3, 3, 1, 3, 5, 0, 0, 4, 2, 4, 5, 3, 2, 1, 0, 4, 5, 5, 3, 3, 0, 5, 4, 2, 0, 5, 5, 4, 5, 0]
20 100.71495666503905 [3, 5, 2, 4, 3, 0, 3, 2, 5, 1, 1, 2, 5, 4, 4, 2, 5, 3, 5, 5, 0, 2, 5, 0, 4, 4, 1, 4, 4, 1, 3, 3, 2, 2, 2, 2, 1, 5, 0, 3, 5, 5, 1, 5, 5, 4, 3, 4]
